After training 1.55 mins, episode: 100.0, frames: 22.99K, average reward: 1.21
After training 3.55 mins, episode: 200.0, frames: 47.41K, average reward: 3.08
After training 5.12 mins, episode: 300.0, frames: 73.57K, average reward: 1.46
After training 7.05 mins, episode: 400.0, frames: 97.50K, average reward: 2.96
After training 8.57 mins, episode: 500.0, frames: 122.07K, average reward: 1.32
After training 10.64 mins, episode: 600.0, frames: 152.04K, average reward: 1.93
After training 12.55 mins, episode: 700.0, frames: 179.78K, average reward: 3.38
After training 14.58 mins, episode: 800.0, frames: 208.22K, average reward: 3.61
After training 16.13 mins, episode: 900.0, frames: 233.29K, average reward: 1.69
After training 17.65 mins, episode: 1000.0, frames: 256.69K, average reward: 1.71
After training 19.40 mins, episode: 1100.0, frames: 276.83K, average reward: 2.48
After training 21.49 mins, episode: 1200.0, frames: 302.39K, average reward: 3.16
After training 23.54 mins, episode: 1300.0, frames: 329.68K, average reward: 2.05
After training 25.09 mins, episode: 1400.0, frames: 354.66K, average reward: 3.55
After training 26.88 mins, episode: 1500.0, frames: 376.03K, average reward: 3.05
After training 28.67 mins, episode: 1600.0, frames: 399.41K, average reward: 1.54
After training 30.41 mins, episode: 1700.0, frames: 428.75K, average reward: 2.51
After training 32.33 mins, episode: 1800.0, frames: 454.17K, average reward: 2.88
After training 34.22 mins, episode: 1900.0, frames: 481.23K, average reward: 2.35
After training 35.73 mins, episode: 2000.0, frames: 503.55K, average reward: 2.36
After training 37.63 mins, episode: 2100.0, frames: 532.89K, average reward: 3.39
After training 39.17 mins, episode: 2200.0, frames: 554.43K, average reward: 1.47
After training 40.67 mins, episode: 2300.0, frames: 581.07K, average reward: 1.21
After training 42.74 mins, episode: 2400.0, frames: 603.84K, average reward: 1.78
After training 44.35 mins, episode: 2500.0, frames: 628.62K, average reward: 3.52
After training 46.19 mins, episode: 2600.0, frames: 653.82K, average reward: 1.78
After training 48.11 mins, episode: 2700.0, frames: 676.59K, average reward: 2.45
After training 50.05 mins, episode: 2800.0, frames: 699.05K, average reward: 2.62
After training 51.59 mins, episode: 2900.0, frames: 726.63K, average reward: 2.93
After training 53.54 mins, episode: 3000.0, frames: 749.17K, average reward: 2.22
After training 55.16 mins, episode: 3100.0, frames: 772.88K, average reward: 2.40
After training 57.03 mins, episode: 3200.0, frames: 792.90K, average reward: 3.72
After training 58.82 mins, episode: 3300.0, frames: 820.44K, average reward: 2.98
After training 60.60 mins, episode: 3400.0, frames: 846.63K, average reward: 2.08
After training 62.27 mins, episode: 3500.0, frames: 873.80K, average reward: 3.21
After training 63.83 mins, episode: 3600.0, frames: 900.67K, average reward: 2.11
After training 65.40 mins, episode: 3700.0, frames: 923.75K, average reward: 3.66
After training 67.23 mins, episode: 3800.0, frames: 944.01K, average reward: 3.26
After training 68.82 mins, episode: 3900.0, frames: 967.08K, average reward: 2.65
After training 70.89 mins, episode: 4000.0, frames: 990.73K, average reward: 2.72
After training 1.21 hours, episode: 4100.0, frames: 1.02M, average reward: 3.35
After training 1.24 hours, episode: 4200.0, frames: 1.04M, average reward: 2.12
After training 1.28 hours, episode: 4300.0, frames: 1.07M, average reward: 1.17
After training 1.31 hours, episode: 4400.0, frames: 1.10M, average reward: 3.68
After training 1.33 hours, episode: 4500.0, frames: 1.12M, average reward: 3.67
After training 1.36 hours, episode: 4600.0, frames: 1.15M, average reward: 3.35
After training 1.39 hours, episode: 4700.0, frames: 1.18M, average reward: 1.53
After training 1.42 hours, episode: 4800.0, frames: 1.20M, average reward: 1.66
After training 1.46 hours, episode: 4900.0, frames: 1.23M, average reward: 3.46
